disease_names,where,count
"Arthrogryposis,_renal_dysfunction,_and_cholestasis_1;Cholestasis,_progressive_familial_intrahepatic,_12;Keratoderma-ichthyosis-deafness_syndrome,_autosomal_recessive;VPS33B-related_disorder;Inborn_genetic_diseases",center,1
"Arthrogryposis,_renal_dysfunction,_and_cholestasis_1;Inborn_genetic_diseases;Cholestasis,_progressive_familial_intrahepatic,_12;Keratoderma-ichthyosis-deafness_syndrome,_autosomal_recessive",center,1
"Arthrogryposis,_renal_dysfunction,_and_cholestasis_1;Keratoderma-ichthyosis-deafness_syndrome,_autosomal_recessive",center,1
"Arthrogryposis,_renal_dysfunction,_and_cholestasis_1;Keratoderma-ichthyosis-deafness_syndrome,_autosomal_recessive;Cholestasis,_progressive_familial_intrahepatic,_12",center,12
"Arthrogryposis,_renal_dysfunction,_and_cholestasis_1;Keratoderma-ichthyosis-deafness_syndrome,_autosomal_recessive;Cholestasis,_progressive_familial_intrahepatic,_12;Inborn_genetic_diseases",center,2
"Arthrogryposis,_renal_dysfunction,_and_cholestasis_1;Keratoderma-ichthyosis-deafness_syndrome,_autosomal_recessive;Cholestasis,_progressive_familial_intrahepatic,_12;VPS33B-related_disorder",center,4
"Arthrogryposis,_renal_dysfunction,_and_cholestasis_1;VPS33B-related_disorder;Keratoderma-ichthyosis-deafness_syndrome,_autosomal_recessive;Cholestasis,_progressive_familial_intrahepatic,_12;Inborn_genetic_diseases",center,1
"Arts_syndrome;Hearing_loss,_X-linked_1",center,1
"Arts_syndrome;Hearing_loss,_X-linked_1;Charcot-Marie-Tooth_disease_X-linked_recessive_5;Phosphoribosylpyrophosphate_synthetase_superactivity;Charcot-Marie-Tooth_Neuropathy_X",center,1
"Arts_syndrome;Hearing_loss,_X-linked_1;Charcot-Marie-Tooth_disease_X-linked_recessive_5;Phosphoribosylpyrophosphate_synthetase_superactivity;Charcot-Marie-Tooth_Neuropathy_X;Retinal_dystrophy",center,1
"Arts_syndrome;Phosphoribosylpyrophosphate_synthetase_superactivity;Hearing_loss,_X-linked_1",center,5
"Arts_syndrome;Phosphoribosylpyrophosphate_synthetase_superactivity;Hearing_loss,_X-linked_1;Charcot-Marie-Tooth_disease_X-linked_recessive_5;Charcot-Marie-Tooth_Neuropathy_X",center,1
Ataxia;Hereditary_sensory_neuropathy-deafness-dementia_syndrome,center,1
Atypical_Gaucher_Disease;Usher_syndrome_type_1;Combined_PSAP_deficiency;Usher_syndrome_type_1D;Autosomal_recessive_nonsyndromic_hearing_loss_12;Metachromatic_leukodystrophy;Galactosylceramide_beta-galactosidase_deficiency,center,1
Auditory_neuropathy,center,24
"Auditory_neuropathy,_autosomal_recessive,_1",center,1
"Auditory_neuropathy,_autosomal_recessive,_1;Autosomal_recessive_nonsyndromic_hearing_loss_9",center,1
Auditory_neuropathy;Autosomal_recessive_nonsyndromic_hearing_loss_9,center,3
Auditory_neuropathy;Type_2_diabetes_mellitus;Wolfram_syndrome_1;Autosomal_dominant_nonsyndromic_hearing_loss_6;Cataract_41;Wolfram-like_syndrome,center,1
Auditory_neuropathy_spectrum_disorder,center,7
Auditory_neuropathy_spectrum_disorder;Autosomal_recessive_nonsyndromic_hearing_loss_9,center,3
Auditory_neuropathy_spectrum_disorder;Autosomal_recessive_nonsyndromic_hearing_loss_9;OTOF-related_disorder;Inborn_genetic_diseases,center,1
"Autoinflammatory_syndrome;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Cryopyrin_associated_periodic_syndrome;Familial_cold_autoinflammatory_syndrome_1",center,1
"Autoinflammatory_syndrome;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Familial_cold_autoinflammatory_syndrome_1",center,1
"Autoinflammatory_syndrome;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Familial_cold_autoinflammatory_syndrome_1;Cryopyrin_associated_periodic_syndrome",center,1
"Autoinflammatory_syndrome;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Hearing_loss,_autosomal_dominant_34,_with_or_without_inflammation;Familial_cold_autoinflammatory_syndrome_1;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Keratitis_fugax_hereditaria;Cryopyrin_associated_periodic_syndrome",center,1
"Autoinflammatory_syndrome;Cryopyrin_associated_periodic_syndrome;Atypical_hemolytic-uremic_syndrome;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Familial_cold_autoinflammatory_syndrome_1;Familial_amyloid_nephropathy_with_urticaria_AND_deafness",center,1
"Autoinflammatory_syndrome;Cryopyrin_associated_periodic_syndrome;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Familial_cold_autoinflammatory_syndrome_1;Familial_amyloid_nephropathy_with_urticaria_AND_deafness",center,2
"Autoinflammatory_syndrome;Cryopyrin_associated_periodic_syndrome;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Keratitis_fugax_hereditaria;Familial_cold_autoinflammatory_syndrome_1;Hearing_loss,_autosomal_dominant_34,_with_or_without_inflammation;Familial_amyloid_nephropathy_with_urticaria_AND_deafness",center,1
"Autoinflammatory_syndrome;Cryopyrin_associated_periodic_syndrome;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Familial_cold_autoinflammatory_syndrome_1;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome",center,2
"Autoinflammatory_syndrome;Cryopyrin_associated_periodic_syndrome;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Familial_cold_autoinflammatory_syndrome_1;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Focal_segmental_glomerulosclerosis",center,1
"Autoinflammatory_syndrome;Cryopyrin_associated_periodic_syndrome;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Familial_cold_autoinflammatory_syndrome_1;Keratitis_fugax_hereditaria;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Hearing_loss,_autosomal_dominant_34,_with_or_without_inflammation;NLRP3-related_disorder",center,1
"Autoinflammatory_syndrome;Cryopyrin_associated_periodic_syndrome;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Hearing_loss,_autosomal_dominant_34,_with_or_without_inflammation;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Keratitis_fugax_hereditaria;Familial_cold_autoinflammatory_syndrome_1",center,1
"Autoinflammatory_syndrome;Cryopyrin_associated_periodic_syndrome;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Keratitis_fugax_hereditaria;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Familial_cold_autoinflammatory_syndrome_1;Hearing_loss,_autosomal_dominant_34,_with_or_without_inflammation",center,1
"Autoinflammatory_syndrome;Cryopyrin_associated_periodic_syndrome;Familial_cold_autoinflammatory_syndrome_1;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Familial_amyloid_nephropathy_with_urticaria_AND_deafness",center,1
"Autoinflammatory_syndrome;Cryopyrin_associated_periodic_syndrome;Hearing_loss,_autosomal_dominant_34,_with_or_without_inflammation;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Keratitis_fugax_hereditaria;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Familial_cold_autoinflammatory_syndrome_1",center,1
"Autoinflammatory_syndrome;Cryopyrin_associated_periodic_syndrome;Inborn_genetic_diseases;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Keratitis_fugax_hereditaria;Familial_cold_autoinflammatory_syndrome_1;Hearing_loss,_autosomal_dominant_34,_with_or_without_inflammation;Familial_amyloid_nephropathy_with_urticaria_AND_deafness",center,1
"Autoinflammatory_syndrome;Cryopyrin_associated_periodic_syndrome;NLRP3-related_disorder;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Familial_cold_autoinflammatory_syndrome_1",center,1
"Autoinflammatory_syndrome;Cryopyrin_associated_periodic_syndrome;NLRP3-related_disorder;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Familial_cold_autoinflammatory_syndrome_1;Familial_amyloid_nephropathy_with_urticaria_AND_deafness",center,1
"Autoinflammatory_syndrome;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Familial_cold_autoinflammatory_syndrome_1;Cryopyrin_associated_periodic_syndrome;NLRP3-related_disorder",center,1
Autoinflammatory_syndrome;Familial_cold_autoinflammatory_syndrome_1;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Cryopyrin_associated_periodic_syndrome,center,1
"Autoinflammatory_syndrome;Familial_cold_autoinflammatory_syndrome_1;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Hearing_loss,_autosomal_dominant_34,_with_or_without_inflammation;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Keratitis_fugax_hereditaria;Cryopyrin_associated_periodic_syndrome;Inborn_genetic_diseases",center,1
"Autoinflammatory_syndrome;NLRP3-related_disorder;Cryopyrin_associated_periodic_syndrome;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Familial_cold_autoinflammatory_syndrome_1;Familial_amyloid_nephropathy_with_urticaria_AND_deafness",center,1
"Autoinflammatory_syndrome;NLRP3-related_disorder;Cryopyrin_associated_periodic_syndrome;Familial_cold_autoinflammatory_syndrome_1;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome",center,1
"Autosomal_dominant_cerebellar_ataxia,_deafness_and_narcolepsy",center,7
"Autosomal_dominant_cerebellar_ataxia,_deafness_and_narcolepsy;Hereditary_sensory_neuropathy-deafness-dementia_syndrome",center,15
"Autosomal_dominant_cerebellar_ataxia,_deafness_and_narcolepsy;Hereditary_sensory_neuropathy-deafness-dementia_syndrome;Inborn_genetic_diseases",center,1
"Autosomal_dominant_cerebellar_ataxia,_deafness_and_narcolepsy;Spastic_ataxia",center,1
Autosomal_dominant_deafness_-_onychodystrophy_syndrome,center,6
Autosomal_dominant_deafness_-_onychodystrophy_syndrome;Inborn_genetic_diseases,center,1
Autosomal_dominant_deafness_-_onychodystrophy_syndrome;Zimmermann-Laband_syndrome_2,center,2
Autosomal_dominant_deafness_-_onychodystrophy_syndrome;Zimmermann-Laband_syndrome_2;Neurodevelopmental_delay,center,1
Autosomal_dominant_keratitis-ichthyosis-hearing_loss_syndrome,center,6
"Autosomal_dominant_keratitis-ichthyosis-hearing_loss_syndrome;Ichthyosis,_hystrix-like,_with_hearing_loss;Hearing_loss;Sensorineural_hearing_loss_disorder;Mutilating_keratoderma",center,1
"Autosomal_dominant_keratitis-ichthyosis-hearing_loss_syndrome;Palmoplantar_keratoderma-deafness_syndrome;Autosomal_dominant_nonsyndromic_hearing_loss_3A;X-linked_mixed_hearing_loss_with_perilymphatic_gusher;Autosomal_recessive_nonsyndromic_hearing_loss_1A;Mutilating_keratoderma;Ichthyosis,_hystrix-like,_with_hearing_loss;Knuckle_pads,_deafness_AND_leukonychia_syndrome;Autosomal_recessive_nonsyndromic_hearing_loss_12",center,1
"Autosomal_dominant_keratitis-ichthyosis-hearing_loss_syndrome;Palmoplantar_keratoderma-deafness_syndrome;Knuckle_pads,_deafness_AND_leukonychia_syndrome;Ichthyosis,_hystrix-like,_with_hearing_loss;Mutilating_keratoderma;Autosomal_dominant_nonsyndromic_hearing_loss_3A;Autosomal_recessive_nonsyndromic_hearing_loss_1A",center,1
"Autosomal_dominant_keratitis-ichthyosis-hearing_loss_syndrome;Palmoplantar_keratoderma-deafness_syndrome;Knuckle_pads,_deafness_AND_leukonychia_syndrome;Mutilating_keratoderma;Ichthyosis,_hystrix-like,_with_hearing_loss;Autosomal_dominant_nonsyndromic_hearing_loss_3A;Autosomal_recessive_nonsyndromic_hearing_loss_1A",center,1
"Autosomal_dominant_keratitis-ichthyosis-hearing_loss_syndrome;Palmoplantar_keratoderma-deafness_syndrome;Knuckle_pads,_deafness_AND_leukonychia_syndrome;Mutilating_keratoderma;Ichthyosis,_hystrix-like,_with_hearing_loss;Autosomal_recessive_nonsyndromic_hearing_loss_1A;Autosomal_dominant_nonsyndromic_hearing_loss_3A",center,1
Autosomal_dominant_nonsyndromic_hearing_loss,center,13
Autosomal_dominant_nonsyndromic_hearing_loss;Hereditary_optic_neuropathy,center,1
Autosomal_dominant_nonsyndromic_hearing_loss_10,center,27
Autosomal_dominant_nonsyndromic_hearing_loss_10;Cardiovascular_phenotype;Dilated_cardiomyopathy_1J,center,1
Autosomal_dominant_nonsyndromic_hearing_loss_10;Dilated_cardiomyopathy_1J,center,24
Autosomal_dominant_nonsyndromic_hearing_loss_10;Dilated_cardiomyopathy_1J;Cardiovascular_phenotype,center,4
Autosomal_dominant_nonsyndromic_hearing_loss_10;Dilated_cardiomyopathy_1J;Cardiovascular_phenotype;Ventricular_tachycardia;Congestive_heart_failure,center,1
Autosomal_dominant_nonsyndromic_hearing_loss_10;Dilated_cardiomyopathy_1J;Hypertrophic_cardiomyopathy;Cardiovascular_phenotype,center,1
Autosomal_dominant_nonsyndromic_hearing_loss_11,center,27
Autosomal_dominant_nonsyndromic_hearing_loss_11;Autosomal_recessive_nonsyndromic_hearing_loss_2,center,1
