disease_names,mut_type,count
Acute_infantile_liver_failure_due_to_synthesis_defect_of_mtDNA-encoded_proteins;Aminoglycoside-induced_deafness,INS,4
Acute_infantile_liver_failure_due_to_synthesis_defect_of_mtDNA-encoded_proteins;Aminoglycoside-induced_deafness,DEL,3
Acute_infantile_liver_failure_due_to_synthesis_defect_of_mtDNA-encoded_proteins;Aminoglycoside-induced_deafness;Inborn_genetic_diseases,SNP,1
Acute_infantile_liver_failure_due_to_synthesis_defect_of_mtDNA-encoded_proteins;Aminoglycoside-induced_deafness;TRMU-related_disorder,SNP,1
Acute_myeloid_leukemia;Deafness-lymphedema-leukemia_syndrome;GATA2_deficiency_with_susceptibility_to_MDS/AML,INS,1
Acute_myeloid_leukemia;Deafness-lymphedema-leukemia_syndrome;Monocytopenia_with_susceptibility_to_infections,SNP,7
Acute_myeloid_leukemia;Deafness-lymphedema-leukemia_syndrome;Monocytopenia_with_susceptibility_to_infections;Inborn_genetic_diseases,SNP,4
Acute_myeloid_leukemia;Deafness-lymphedema-leukemia_syndrome;Monocytopenia_with_susceptibility_to_infections;Myelodysplastic_syndrome,DEL,1
Acute_myeloid_leukemia;Deafness-lymphedema-leukemia_syndrome;Monocytopenia_with_susceptibility_to_infections;Myelodysplastic_syndrome,SNP,1
Acute_myeloid_leukemia;Deafness-lymphedema-leukemia_syndrome;Monocytopenia_with_susceptibility_to_infections;Myelodysplastic_syndrome;GATA2_deficiency_with_susceptibility_to_MDS/AML,SNP,1
Acute_myeloid_leukemia;Deafness-lymphedema-leukemia_syndrome;Monocytopenia_with_susceptibility_to_infections;Myelodysplastic_syndrome;Hereditary_cancer-predisposing_syndrome;Inborn_genetic_diseases,SNP,1
Acute_myeloid_leukemia;GATA2-related_disorder;Inborn_genetic_diseases;Deafness-lymphedema-leukemia_syndrome;Monocytopenia_with_susceptibility_to_infections,SNP,1
Acute_myeloid_leukemia;GATA2_deficiency_with_susceptibility_to_MDS/AML;Inborn_genetic_diseases;Deafness-lymphedema-leukemia_syndrome;Monocytopenia_with_susceptibility_to_infections,SNP,1
Acute_myeloid_leukemia;Inborn_genetic_diseases;Deafness-lymphedema-leukemia_syndrome;Monocytopenia_with_susceptibility_to_infections,SNP,2
Acute_myeloid_leukemia;Inborn_genetic_diseases;Deafness-lymphedema-leukemia_syndrome;Monocytopenia_with_susceptibility_to_infections;Myelodysplastic_syndrome,SNP,2
Acute_myeloid_leukemia;Monocytopenia_with_susceptibility_to_infections;Deafness-lymphedema-leukemia_syndrome,SNP,3
Acute_myeloid_leukemia;Myelodysplastic_syndrome;Deafness-lymphedema-leukemia_syndrome;Monocytopenia_with_susceptibility_to_infections;Hereditary_cancer;Inborn_genetic_diseases,SNP,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Cardiovascular_phenotype;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Tetralogy_of_Fallot;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon",SNP,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Cardiovascular_phenotype;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH",SNP,3
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Tetralogy_of_Fallot",SNP,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Tetralogy_of_Fallot;Cardiovascular_phenotype",SNP,2
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Tetralogy_of_Fallot;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon",SNP,4
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Tetralogy_of_Fallot;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Cardiovascular_phenotype",SNP,3
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Tetralogy_of_Fallot",SNP,8
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Tetralogy_of_Fallot",DEL,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Tetralogy_of_Fallot",INS,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Tetralogy_of_Fallot;Cardiovascular_phenotype",SNP,3
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Tetralogy_of_Fallot;Congenital_anomaly_of_kidney_and_urinary_tract",SNP,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Tetralogy_of_Fallot;JAG1-related_disorder",SNP,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Tetralogy_of_Fallot;JAG1-related_disorder;Cardiovascular_phenotype",SNP,2
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH",SNP,17
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH",INS,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Cardiovascular_phenotype",SNP,8
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Isolated_Nonsyndromic_Congenital_Heart_Disease",SNP,4
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Isolated_Nonsyndromic_Congenital_Heart_Disease;Cardiovascular_phenotype",SNP,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;JAG1-related_disorder",SNP,2
"Alagille_syndrome_due_to_a_JAG1_point_mutation;JAG1-related_disorder;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Tetralogy_of_Fallot",SNP,2
"Alagille_syndrome_due_to_a_JAG1_point_mutation;JAG1-related_disorder;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Tetralogy_of_Fallot;Cardiovascular_phenotype",SNP,2
"Alagille_syndrome_due_to_a_JAG1_point_mutation;JAG1-related_disorder;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH",SNP,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;JAG1-related_disorder;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon",INS,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;JAG1-related_disorder;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon",SNP,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;JAG1-related_disorder;Tetralogy_of_Fallot;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH",SNP,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon",SNP,4
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Arteriohepatic_dysplasia",SNP,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Cardiovascular_phenotype",SNP,3
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Isolated_Nonsyndromic_Congenital_Heart_Disease;Cardiovascular_phenotype",SNP,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Retinal_dystrophy",SNP,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Tetralogy_of_Fallot;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH",SNP,15
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Tetralogy_of_Fallot;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH",DEL,2
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Tetralogy_of_Fallot;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH",INS,2
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Tetralogy_of_Fallot;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Cardiovascular_phenotype",SNP,2
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Tetralogy_of_Fallot;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;JAG1-related_disorder;Cardiovascular_phenotype",SNP,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Tetralogy_of_Fallot;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Conotruncal_heart_malformations",SNP,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Tetralogy_of_Fallot;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;JAG1-related_disorder",SNP,1
Aldosterone-producing_adenoma_with_seizures_and_neurological_abnormalities;Sinoatrial_node_dysfunction_and_deafness,SNP,8
Aldosterone-producing_adenoma_with_seizures_and_neurological_abnormalities;Sinoatrial_node_dysfunction_and_deafness;Congenital_anomaly_of_kidney_and_urinary_tract;Inborn_genetic_diseases,SNP,1
Aldosterone-producing_adenoma_with_seizures_and_neurological_abnormalities;Sinoatrial_node_dysfunction_and_deafness;Inborn_genetic_diseases,SNP,1
Alport_syndrome,SNP,1
"Alport_syndrome;Autosomal_recessive_Alport_syndrome;Benign_familial_hematuria;Hematuria,_benign_familial,_1;Hematuria;Hearing_impairment;Myopia;Proteinuria;Hypertensive_disorder",SNP,1
"Alport_syndrome_3b,_autosomal_recessive;Autosomal_dominant_Alport_syndrome;Hematuria,_benign_familial,_2;Hearing_impairment",SNP,1
Alveolar_rhabdomyosarcoma;Craniofacial-deafness-hand_syndrome;Waardenburg_syndrome_type_1;Waardenburg_syndrome_type_3,SNP,1
Alveolar_rhabdomyosarcoma;Craniofacial-deafness-hand_syndrome;Waardenburg_syndrome_type_3;Waardenburg_syndrome_type_1;Inborn_genetic_diseases,SNP,1
Alveolar_rhabdomyosarcoma;Waardenburg_syndrome_type_1;Craniofacial-deafness-hand_syndrome;Waardenburg_syndrome_type_3,SNP,1
Aminoglycoside-induced_deafness,DEL,22
Aminoglycoside-induced_deafness,SNP,18
Aminoglycoside-induced_deafness,INS,9
Aminoglycoside-induced_deafness;Acute_infantile_liver_failure_due_to_synthesis_defect_of_mtDNA-encoded_proteins,SNP,12
Aminoglycoside-induced_deafness;Acute_infantile_liver_failure_due_to_synthesis_defect_of_mtDNA-encoded_proteins,DEL,5
Aminoglycoside-induced_deafness;Acute_infantile_liver_failure_due_to_synthesis_defect_of_mtDNA-encoded_proteins,INS,2
Aminoglycoside-induced_deafness;Acute_infantile_liver_failure_due_to_synthesis_defect_of_mtDNA-encoded_proteins;Inborn_genetic_diseases,SNP,1
"Arthrogryposis,_renal_dysfunction,_and_cholestasis_1;Cholestasis,_progressive_familial_intrahepatic,_12;Keratoderma-ichthyosis-deafness_syndrome,_autosomal_recessive;VPS33B-related_disorder;Inborn_genetic_diseases",SNP,1
"Arthrogryposis,_renal_dysfunction,_and_cholestasis_1;Inborn_genetic_diseases;Cholestasis,_progressive_familial_intrahepatic,_12;Keratoderma-ichthyosis-deafness_syndrome,_autosomal_recessive",SNP,1
"Arthrogryposis,_renal_dysfunction,_and_cholestasis_1;Keratoderma-ichthyosis-deafness_syndrome,_autosomal_recessive",SNP,1
"Arthrogryposis,_renal_dysfunction,_and_cholestasis_1;Keratoderma-ichthyosis-deafness_syndrome,_autosomal_recessive;Cholestasis,_progressive_familial_intrahepatic,_12",SNP,10
"Arthrogryposis,_renal_dysfunction,_and_cholestasis_1;Keratoderma-ichthyosis-deafness_syndrome,_autosomal_recessive;Cholestasis,_progressive_familial_intrahepatic,_12",OTHER,2
"Arthrogryposis,_renal_dysfunction,_and_cholestasis_1;Keratoderma-ichthyosis-deafness_syndrome,_autosomal_recessive;Cholestasis,_progressive_familial_intrahepatic,_12;Inborn_genetic_diseases",SNP,2
"Arthrogryposis,_renal_dysfunction,_and_cholestasis_1;Keratoderma-ichthyosis-deafness_syndrome,_autosomal_recessive;Cholestasis,_progressive_familial_intrahepatic,_12;VPS33B-related_disorder",SNP,4
"Arthrogryposis,_renal_dysfunction,_and_cholestasis_1;VPS33B-related_disorder;Keratoderma-ichthyosis-deafness_syndrome,_autosomal_recessive;Cholestasis,_progressive_familial_intrahepatic,_12;Inborn_genetic_diseases",SNP,1
"Arts_syndrome;Hearing_loss,_X-linked_1",SNP,1
"Arts_syndrome;Hearing_loss,_X-linked_1;Charcot-Marie-Tooth_disease_X-linked_recessive_5;Phosphoribosylpyrophosphate_synthetase_superactivity;Charcot-Marie-Tooth_Neuropathy_X",SNP,1
"Arts_syndrome;Hearing_loss,_X-linked_1;Charcot-Marie-Tooth_disease_X-linked_recessive_5;Phosphoribosylpyrophosphate_synthetase_superactivity;Charcot-Marie-Tooth_Neuropathy_X;Retinal_dystrophy",SNP,1
"Arts_syndrome;Phosphoribosylpyrophosphate_synthetase_superactivity;Hearing_loss,_X-linked_1",SNP,5
"Arts_syndrome;Phosphoribosylpyrophosphate_synthetase_superactivity;Hearing_loss,_X-linked_1;Charcot-Marie-Tooth_disease_X-linked_recessive_5;Charcot-Marie-Tooth_Neuropathy_X",SNP,1
Ataxia;Hereditary_sensory_neuropathy-deafness-dementia_syndrome,SNP,1
Atypical_Gaucher_Disease;Usher_syndrome_type_1;Combined_PSAP_deficiency;Usher_syndrome_type_1D;Autosomal_recessive_nonsyndromic_hearing_loss_12;Metachromatic_leukodystrophy;Galactosylceramide_beta-galactosidase_deficiency,SNP,1
Auditory_neuropathy,SNP,18
Auditory_neuropathy,DEL,4
Auditory_neuropathy,INS,2
"Auditory_neuropathy,_autosomal_recessive,_1",SNP,1
"Auditory_neuropathy,_autosomal_recessive,_1;Autosomal_recessive_nonsyndromic_hearing_loss_9",DEL,1
Auditory_neuropathy;Autosomal_recessive_nonsyndromic_hearing_loss_9,INS,2
Auditory_neuropathy;Autosomal_recessive_nonsyndromic_hearing_loss_9,DEL,1
Auditory_neuropathy;Type_2_diabetes_mellitus;Wolfram_syndrome_1;Autosomal_dominant_nonsyndromic_hearing_loss_6;Cataract_41;Wolfram-like_syndrome,SNP,1
Auditory_neuropathy_spectrum_disorder,SNP,7
Auditory_neuropathy_spectrum_disorder;Autosomal_recessive_nonsyndromic_hearing_loss_9,SNP,3
Auditory_neuropathy_spectrum_disorder;Autosomal_recessive_nonsyndromic_hearing_loss_9;OTOF-related_disorder;Inborn_genetic_diseases,SNP,1
"Autoinflammatory_syndrome;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Cryopyrin_associated_periodic_syndrome;Familial_cold_autoinflammatory_syndrome_1",SNP,1
"Autoinflammatory_syndrome;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Familial_cold_autoinflammatory_syndrome_1",SNP,1
"Autoinflammatory_syndrome;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Familial_cold_autoinflammatory_syndrome_1;Cryopyrin_associated_periodic_syndrome",SNP,1
"Autoinflammatory_syndrome;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Hearing_loss,_autosomal_dominant_34,_with_or_without_inflammation;Familial_cold_autoinflammatory_syndrome_1;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Keratitis_fugax_hereditaria;Cryopyrin_associated_periodic_syndrome",SNP,1
"Autoinflammatory_syndrome;Cryopyrin_associated_periodic_syndrome;Atypical_hemolytic-uremic_syndrome;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Familial_cold_autoinflammatory_syndrome_1;Familial_amyloid_nephropathy_with_urticaria_AND_deafness",SNP,1
"Autoinflammatory_syndrome;Cryopyrin_associated_periodic_syndrome;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Familial_cold_autoinflammatory_syndrome_1;Familial_amyloid_nephropathy_with_urticaria_AND_deafness",SNP,2
"Autoinflammatory_syndrome;Cryopyrin_associated_periodic_syndrome;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Keratitis_fugax_hereditaria;Familial_cold_autoinflammatory_syndrome_1;Hearing_loss,_autosomal_dominant_34,_with_or_without_inflammation;Familial_amyloid_nephropathy_with_urticaria_AND_deafness",SNP,1
"Autoinflammatory_syndrome;Cryopyrin_associated_periodic_syndrome;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Familial_cold_autoinflammatory_syndrome_1;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome",SNP,2
"Autoinflammatory_syndrome;Cryopyrin_associated_periodic_syndrome;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Familial_cold_autoinflammatory_syndrome_1;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Focal_segmental_glomerulosclerosis",SNP,1
"Autoinflammatory_syndrome;Cryopyrin_associated_periodic_syndrome;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Familial_cold_autoinflammatory_syndrome_1;Keratitis_fugax_hereditaria;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Hearing_loss,_autosomal_dominant_34,_with_or_without_inflammation;NLRP3-related_disorder",SNP,1
"Autoinflammatory_syndrome;Cryopyrin_associated_periodic_syndrome;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Hearing_loss,_autosomal_dominant_34,_with_or_without_inflammation;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Keratitis_fugax_hereditaria;Familial_cold_autoinflammatory_syndrome_1",SNP,1
"Autoinflammatory_syndrome;Cryopyrin_associated_periodic_syndrome;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Keratitis_fugax_hereditaria;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Familial_cold_autoinflammatory_syndrome_1;Hearing_loss,_autosomal_dominant_34,_with_or_without_inflammation",SNP,1
"Autoinflammatory_syndrome;Cryopyrin_associated_periodic_syndrome;Familial_cold_autoinflammatory_syndrome_1;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Familial_amyloid_nephropathy_with_urticaria_AND_deafness",SNP,1
"Autoinflammatory_syndrome;Cryopyrin_associated_periodic_syndrome;Hearing_loss,_autosomal_dominant_34,_with_or_without_inflammation;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Keratitis_fugax_hereditaria;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Familial_cold_autoinflammatory_syndrome_1",SNP,1
"Autoinflammatory_syndrome;Cryopyrin_associated_periodic_syndrome;Inborn_genetic_diseases;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Keratitis_fugax_hereditaria;Familial_cold_autoinflammatory_syndrome_1;Hearing_loss,_autosomal_dominant_34,_with_or_without_inflammation;Familial_amyloid_nephropathy_with_urticaria_AND_deafness",SNP,1
"Autoinflammatory_syndrome;Cryopyrin_associated_periodic_syndrome;NLRP3-related_disorder;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Familial_cold_autoinflammatory_syndrome_1",SNP,1
"Autoinflammatory_syndrome;Cryopyrin_associated_periodic_syndrome;NLRP3-related_disorder;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Familial_cold_autoinflammatory_syndrome_1;Familial_amyloid_nephropathy_with_urticaria_AND_deafness",SNP,1
"Autoinflammatory_syndrome;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Familial_cold_autoinflammatory_syndrome_1;Cryopyrin_associated_periodic_syndrome;NLRP3-related_disorder",SNP,1
Autoinflammatory_syndrome;Familial_cold_autoinflammatory_syndrome_1;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Cryopyrin_associated_periodic_syndrome,SNP,1
"Autoinflammatory_syndrome;Familial_cold_autoinflammatory_syndrome_1;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Hearing_loss,_autosomal_dominant_34,_with_or_without_inflammation;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Keratitis_fugax_hereditaria;Cryopyrin_associated_periodic_syndrome;Inborn_genetic_diseases",SNP,1
"Autoinflammatory_syndrome;NLRP3-related_disorder;Cryopyrin_associated_periodic_syndrome;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Familial_cold_autoinflammatory_syndrome_1;Familial_amyloid_nephropathy_with_urticaria_AND_deafness",SNP,1
"Autoinflammatory_syndrome;NLRP3-related_disorder;Cryopyrin_associated_periodic_syndrome;Familial_cold_autoinflammatory_syndrome_1;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome",SNP,1
"Autosomal_dominant_cerebellar_ataxia,_deafness_and_narcolepsy",SNP,7
"Autosomal_dominant_cerebellar_ataxia,_deafness_and_narcolepsy;Hereditary_sensory_neuropathy-deafness-dementia_syndrome",SNP,15
"Autosomal_dominant_cerebellar_ataxia,_deafness_and_narcolepsy;Hereditary_sensory_neuropathy-deafness-dementia_syndrome;Inborn_genetic_diseases",SNP,1
"Autosomal_dominant_cerebellar_ataxia,_deafness_and_narcolepsy;Spastic_ataxia",SNP,1
Autosomal_dominant_deafness_-_onychodystrophy_syndrome,SNP,6
Autosomal_dominant_deafness_-_onychodystrophy_syndrome;Inborn_genetic_diseases,SNP,1
