disease_names,tt,count
"Abortive_cerebellar_ataxia;Glaucoma,_normal_tension,_susceptibility_to;Optic_atrophy_with_or_without_deafness,_ophthalmoplegia,_myopathy,_ataxia,_and_neuropathy;Mitochondrial_DNA_depletion_syndrome_14_(cardioencephalomyopathic_type);Autosomal_dominant_optic_atrophy_classic_form",transition,1
"Abortive_cerebellar_ataxia;Mitochondrial_DNA_depletion_syndrome_14_(cardioencephalomyopathic_type);Autosomal_dominant_optic_atrophy_classic_form;Optic_atrophy_with_or_without_deafness,_ophthalmoplegia,_myopathy,_ataxia,_and_neuropathy",transition,1
"Abortive_cerebellar_ataxia;Optic_atrophy_with_or_without_deafness,_ophthalmoplegia,_myopathy,_ataxia,_and_neuropathy;Autosomal_dominant_optic_atrophy_classic_form;Mitochondrial_DNA_depletion_syndrome_14_(cardioencephalomyopathic_type)",transversion,1
"Abortive_cerebellar_ataxia;Optic_atrophy_with_or_without_deafness,_ophthalmoplegia,_myopathy,_ataxia,_and_neuropathy;Autosomal_dominant_optic_atrophy_classic_form;Mitochondrial_DNA_depletion_syndrome_14_(cardioencephalomyopathic_type);Inborn_genetic_diseases",transition,1
Acute_infantile_liver_failure_due_to_synthesis_defect_of_mtDNA-encoded_proteins;Aminoglycoside-induced_deafness,transition,8
Acute_infantile_liver_failure_due_to_synthesis_defect_of_mtDNA-encoded_proteins;Aminoglycoside-induced_deafness,transversion,3
Acute_infantile_liver_failure_due_to_synthesis_defect_of_mtDNA-encoded_proteins;Aminoglycoside-induced_deafness;Inborn_genetic_diseases,transition,1
Acute_infantile_liver_failure_due_to_synthesis_defect_of_mtDNA-encoded_proteins;Aminoglycoside-induced_deafness;TRMU-related_disorder,transition,1
Acute_myeloid_leukemia;Deafness-lymphedema-leukemia_syndrome;Monocytopenia_with_susceptibility_to_infections,transition,5
Acute_myeloid_leukemia;Deafness-lymphedema-leukemia_syndrome;Monocytopenia_with_susceptibility_to_infections,transversion,2
Acute_myeloid_leukemia;Deafness-lymphedema-leukemia_syndrome;Monocytopenia_with_susceptibility_to_infections;Inborn_genetic_diseases,transition,2
Acute_myeloid_leukemia;Deafness-lymphedema-leukemia_syndrome;Monocytopenia_with_susceptibility_to_infections;Inborn_genetic_diseases,transversion,2
Acute_myeloid_leukemia;Deafness-lymphedema-leukemia_syndrome;Monocytopenia_with_susceptibility_to_infections;Myelodysplastic_syndrome,transition,1
Acute_myeloid_leukemia;Deafness-lymphedema-leukemia_syndrome;Monocytopenia_with_susceptibility_to_infections;Myelodysplastic_syndrome;GATA2_deficiency_with_susceptibility_to_MDS/AML,transversion,1
Acute_myeloid_leukemia;Deafness-lymphedema-leukemia_syndrome;Monocytopenia_with_susceptibility_to_infections;Myelodysplastic_syndrome;Hereditary_cancer-predisposing_syndrome;Inborn_genetic_diseases,transition,1
Acute_myeloid_leukemia;GATA2-related_disorder;Inborn_genetic_diseases;Deafness-lymphedema-leukemia_syndrome;Monocytopenia_with_susceptibility_to_infections,transition,1
Acute_myeloid_leukemia;GATA2_deficiency_with_susceptibility_to_MDS/AML;Inborn_genetic_diseases;Deafness-lymphedema-leukemia_syndrome;Monocytopenia_with_susceptibility_to_infections,transversion,1
Acute_myeloid_leukemia;Inborn_genetic_diseases;Deafness-lymphedema-leukemia_syndrome;Monocytopenia_with_susceptibility_to_infections,transition,2
Acute_myeloid_leukemia;Inborn_genetic_diseases;Deafness-lymphedema-leukemia_syndrome;Monocytopenia_with_susceptibility_to_infections;Myelodysplastic_syndrome,transition,2
Acute_myeloid_leukemia;Monocytopenia_with_susceptibility_to_infections;Deafness-lymphedema-leukemia_syndrome,transversion,2
Acute_myeloid_leukemia;Monocytopenia_with_susceptibility_to_infections;Deafness-lymphedema-leukemia_syndrome,transition,1
Acute_myeloid_leukemia;Myelodysplastic_syndrome;Deafness-lymphedema-leukemia_syndrome;Monocytopenia_with_susceptibility_to_infections;Hereditary_cancer;Inborn_genetic_diseases,transition,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Cardiovascular_phenotype;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Tetralogy_of_Fallot;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon",transition,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Cardiovascular_phenotype;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH",transition,2
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Cardiovascular_phenotype;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH",transversion,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Tetralogy_of_Fallot",transition,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Tetralogy_of_Fallot;Cardiovascular_phenotype",transition,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Tetralogy_of_Fallot;Cardiovascular_phenotype",transversion,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Tetralogy_of_Fallot;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon",transition,3
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Tetralogy_of_Fallot;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon",transversion,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Tetralogy_of_Fallot;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Cardiovascular_phenotype",transition,3
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Tetralogy_of_Fallot",transition,8
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Tetralogy_of_Fallot;Cardiovascular_phenotype",transition,3
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Tetralogy_of_Fallot;Congenital_anomaly_of_kidney_and_urinary_tract",transversion,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Tetralogy_of_Fallot;JAG1-related_disorder",transition,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Tetralogy_of_Fallot;JAG1-related_disorder;Cardiovascular_phenotype",transition,2
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH",transition,12
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH",transversion,5
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Cardiovascular_phenotype",transition,7
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Cardiovascular_phenotype",transversion,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Isolated_Nonsyndromic_Congenital_Heart_Disease",transition,3
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Isolated_Nonsyndromic_Congenital_Heart_Disease",transversion,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Isolated_Nonsyndromic_Congenital_Heart_Disease;Cardiovascular_phenotype",transversion,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;JAG1-related_disorder",transition,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;JAG1-related_disorder",transversion,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;JAG1-related_disorder;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Tetralogy_of_Fallot",transition,2
"Alagille_syndrome_due_to_a_JAG1_point_mutation;JAG1-related_disorder;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Tetralogy_of_Fallot;Cardiovascular_phenotype",transition,2
"Alagille_syndrome_due_to_a_JAG1_point_mutation;JAG1-related_disorder;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH",transition,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;JAG1-related_disorder;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon",transition,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;JAG1-related_disorder;Tetralogy_of_Fallot;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH",transition,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon",transition,2
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon",transversion,2
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Arteriohepatic_dysplasia",transition,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Cardiovascular_phenotype",transition,3
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Isolated_Nonsyndromic_Congenital_Heart_Disease;Cardiovascular_phenotype",transversion,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Retinal_dystrophy",transition,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Tetralogy_of_Fallot;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH",transition,9
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Tetralogy_of_Fallot;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH",transversion,6
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Tetralogy_of_Fallot;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Cardiovascular_phenotype",transition,2
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Tetralogy_of_Fallot;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;JAG1-related_disorder;Cardiovascular_phenotype",transition,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Tetralogy_of_Fallot;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Conotruncal_heart_malformations",transition,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Tetralogy_of_Fallot;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;JAG1-related_disorder",transition,1
Aldosterone-producing_adenoma_with_seizures_and_neurological_abnormalities;Sinoatrial_node_dysfunction_and_deafness,transition,7
Aldosterone-producing_adenoma_with_seizures_and_neurological_abnormalities;Sinoatrial_node_dysfunction_and_deafness,transversion,1
Aldosterone-producing_adenoma_with_seizures_and_neurological_abnormalities;Sinoatrial_node_dysfunction_and_deafness;Congenital_anomaly_of_kidney_and_urinary_tract;Inborn_genetic_diseases,transition,1
Aldosterone-producing_adenoma_with_seizures_and_neurological_abnormalities;Sinoatrial_node_dysfunction_and_deafness;Inborn_genetic_diseases,transition,1
Alport_syndrome,transition,1
"Alport_syndrome;Autosomal_recessive_Alport_syndrome;Benign_familial_hematuria;Hematuria,_benign_familial,_1;Hematuria;Hearing_impairment;Myopia;Proteinuria;Hypertensive_disorder",transition,1
"Alport_syndrome_3b,_autosomal_recessive;Autosomal_dominant_Alport_syndrome;Hematuria,_benign_familial,_2;Hearing_impairment",transition,1
Alveolar_rhabdomyosarcoma;Craniofacial-deafness-hand_syndrome;Waardenburg_syndrome_type_1;Waardenburg_syndrome_type_3,transition,1
Alveolar_rhabdomyosarcoma;Craniofacial-deafness-hand_syndrome;Waardenburg_syndrome_type_3;Waardenburg_syndrome_type_1;Inborn_genetic_diseases,transversion,1
Alveolar_rhabdomyosarcoma;Waardenburg_syndrome_type_1;Craniofacial-deafness-hand_syndrome;Waardenburg_syndrome_type_3,transversion,1
Aminoglycoside-induced_deafness,transition,11
Aminoglycoside-induced_deafness,transversion,7
Aminoglycoside-induced_deafness;Acute_infantile_liver_failure_due_to_synthesis_defect_of_mtDNA-encoded_proteins,transition,7
Aminoglycoside-induced_deafness;Acute_infantile_liver_failure_due_to_synthesis_defect_of_mtDNA-encoded_proteins,transversion,5
Aminoglycoside-induced_deafness;Acute_infantile_liver_failure_due_to_synthesis_defect_of_mtDNA-encoded_proteins;Inborn_genetic_diseases,transition,1
"Arthrogryposis,_renal_dysfunction,_and_cholestasis_1;Cholestasis,_progressive_familial_intrahepatic,_12;Keratoderma-ichthyosis-deafness_syndrome,_autosomal_recessive;VPS33B-related_disorder;Inborn_genetic_diseases",transversion,1
"Arthrogryposis,_renal_dysfunction,_and_cholestasis_1;Inborn_genetic_diseases;Cholestasis,_progressive_familial_intrahepatic,_12;Keratoderma-ichthyosis-deafness_syndrome,_autosomal_recessive",transition,1
"Arthrogryposis,_renal_dysfunction,_and_cholestasis_1;Keratoderma-ichthyosis-deafness_syndrome,_autosomal_recessive",transition,1
"Arthrogryposis,_renal_dysfunction,_and_cholestasis_1;Keratoderma-ichthyosis-deafness_syndrome,_autosomal_recessive;Cholestasis,_progressive_familial_intrahepatic,_12",transversion,7
"Arthrogryposis,_renal_dysfunction,_and_cholestasis_1;Keratoderma-ichthyosis-deafness_syndrome,_autosomal_recessive;Cholestasis,_progressive_familial_intrahepatic,_12",transition,3
"Arthrogryposis,_renal_dysfunction,_and_cholestasis_1;Keratoderma-ichthyosis-deafness_syndrome,_autosomal_recessive;Cholestasis,_progressive_familial_intrahepatic,_12;Inborn_genetic_diseases",transition,2
"Arthrogryposis,_renal_dysfunction,_and_cholestasis_1;Keratoderma-ichthyosis-deafness_syndrome,_autosomal_recessive;Cholestasis,_progressive_familial_intrahepatic,_12;VPS33B-related_disorder",transition,4
"Arthrogryposis,_renal_dysfunction,_and_cholestasis_1;VPS33B-related_disorder;Keratoderma-ichthyosis-deafness_syndrome,_autosomal_recessive;Cholestasis,_progressive_familial_intrahepatic,_12;Inborn_genetic_diseases",transition,1
"Arts_syndrome;Hearing_loss,_X-linked_1",transversion,1
"Arts_syndrome;Hearing_loss,_X-linked_1;Charcot-Marie-Tooth_disease_X-linked_recessive_5;Phosphoribosylpyrophosphate_synthetase_superactivity;Charcot-Marie-Tooth_Neuropathy_X",transition,1
"Arts_syndrome;Hearing_loss,_X-linked_1;Charcot-Marie-Tooth_disease_X-linked_recessive_5;Phosphoribosylpyrophosphate_synthetase_superactivity;Charcot-Marie-Tooth_Neuropathy_X;Retinal_dystrophy",transition,1
"Arts_syndrome;Phosphoribosylpyrophosphate_synthetase_superactivity;Hearing_loss,_X-linked_1",transition,3
"Arts_syndrome;Phosphoribosylpyrophosphate_synthetase_superactivity;Hearing_loss,_X-linked_1",transversion,2
"Arts_syndrome;Phosphoribosylpyrophosphate_synthetase_superactivity;Hearing_loss,_X-linked_1;Charcot-Marie-Tooth_disease_X-linked_recessive_5;Charcot-Marie-Tooth_Neuropathy_X",transition,1
Ataxia;Hereditary_sensory_neuropathy-deafness-dementia_syndrome,transition,1
Atypical_Gaucher_Disease;Usher_syndrome_type_1;Combined_PSAP_deficiency;Usher_syndrome_type_1D;Autosomal_recessive_nonsyndromic_hearing_loss_12;Metachromatic_leukodystrophy;Galactosylceramide_beta-galactosidase_deficiency,transition,1
Auditory_neuropathy,transversion,11
Auditory_neuropathy,transition,7
"Auditory_neuropathy,_autosomal_recessive,_1",transversion,1
Auditory_neuropathy;Type_2_diabetes_mellitus;Wolfram_syndrome_1;Autosomal_dominant_nonsyndromic_hearing_loss_6;Cataract_41;Wolfram-like_syndrome,transversion,1
Auditory_neuropathy_spectrum_disorder,transition,5
Auditory_neuropathy_spectrum_disorder,transversion,2
Auditory_neuropathy_spectrum_disorder;Autosomal_recessive_nonsyndromic_hearing_loss_9,transition,2
Auditory_neuropathy_spectrum_disorder;Autosomal_recessive_nonsyndromic_hearing_loss_9,transversion,1
Auditory_neuropathy_spectrum_disorder;Autosomal_recessive_nonsyndromic_hearing_loss_9;OTOF-related_disorder;Inborn_genetic_diseases,transition,1
"Autoinflammatory_syndrome;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Cryopyrin_associated_periodic_syndrome;Familial_cold_autoinflammatory_syndrome_1",transition,1
"Autoinflammatory_syndrome;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Familial_cold_autoinflammatory_syndrome_1",transversion,1
"Autoinflammatory_syndrome;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Familial_cold_autoinflammatory_syndrome_1;Cryopyrin_associated_periodic_syndrome",transition,1
"Autoinflammatory_syndrome;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Hearing_loss,_autosomal_dominant_34,_with_or_without_inflammation;Familial_cold_autoinflammatory_syndrome_1;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Keratitis_fugax_hereditaria;Cryopyrin_associated_periodic_syndrome",transition,1
"Autoinflammatory_syndrome;Cryopyrin_associated_periodic_syndrome;Atypical_hemolytic-uremic_syndrome;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Familial_cold_autoinflammatory_syndrome_1;Familial_amyloid_nephropathy_with_urticaria_AND_deafness",transversion,1
"Autoinflammatory_syndrome;Cryopyrin_associated_periodic_syndrome;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Familial_cold_autoinflammatory_syndrome_1;Familial_amyloid_nephropathy_with_urticaria_AND_deafness",transition,2
"Autoinflammatory_syndrome;Cryopyrin_associated_periodic_syndrome;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Keratitis_fugax_hereditaria;Familial_cold_autoinflammatory_syndrome_1;Hearing_loss,_autosomal_dominant_34,_with_or_without_inflammation;Familial_amyloid_nephropathy_with_urticaria_AND_deafness",transition,1
"Autoinflammatory_syndrome;Cryopyrin_associated_periodic_syndrome;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Familial_cold_autoinflammatory_syndrome_1;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome",transition,2
"Autoinflammatory_syndrome;Cryopyrin_associated_periodic_syndrome;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Familial_cold_autoinflammatory_syndrome_1;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Focal_segmental_glomerulosclerosis",transition,1
"Autoinflammatory_syndrome;Cryopyrin_associated_periodic_syndrome;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Familial_cold_autoinflammatory_syndrome_1;Keratitis_fugax_hereditaria;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Hearing_loss,_autosomal_dominant_34,_with_or_without_inflammation;NLRP3-related_disorder",transition,1
"Autoinflammatory_syndrome;Cryopyrin_associated_periodic_syndrome;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Hearing_loss,_autosomal_dominant_34,_with_or_without_inflammation;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Keratitis_fugax_hereditaria;Familial_cold_autoinflammatory_syndrome_1",transition,1
"Autoinflammatory_syndrome;Cryopyrin_associated_periodic_syndrome;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Keratitis_fugax_hereditaria;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Familial_cold_autoinflammatory_syndrome_1;Hearing_loss,_autosomal_dominant_34,_with_or_without_inflammation",transversion,1
"Autoinflammatory_syndrome;Cryopyrin_associated_periodic_syndrome;Familial_cold_autoinflammatory_syndrome_1;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Familial_amyloid_nephropathy_with_urticaria_AND_deafness",transition,1
"Autoinflammatory_syndrome;Cryopyrin_associated_periodic_syndrome;Hearing_loss,_autosomal_dominant_34,_with_or_without_inflammation;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Keratitis_fugax_hereditaria;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Familial_cold_autoinflammatory_syndrome_1",transition,1
"Autoinflammatory_syndrome;Cryopyrin_associated_periodic_syndrome;Inborn_genetic_diseases;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Keratitis_fugax_hereditaria;Familial_cold_autoinflammatory_syndrome_1;Hearing_loss,_autosomal_dominant_34,_with_or_without_inflammation;Familial_amyloid_nephropathy_with_urticaria_AND_deafness",transition,1
"Autoinflammatory_syndrome;Cryopyrin_associated_periodic_syndrome;NLRP3-related_disorder;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Familial_cold_autoinflammatory_syndrome_1",transition,1
"Autoinflammatory_syndrome;Cryopyrin_associated_periodic_syndrome;NLRP3-related_disorder;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Familial_cold_autoinflammatory_syndrome_1;Familial_amyloid_nephropathy_with_urticaria_AND_deafness",transition,1
"Autoinflammatory_syndrome;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Familial_cold_autoinflammatory_syndrome_1;Cryopyrin_associated_periodic_syndrome;NLRP3-related_disorder",transition,1
Autoinflammatory_syndrome;Familial_cold_autoinflammatory_syndrome_1;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Cryopyrin_associated_periodic_syndrome,transition,1
"Autoinflammatory_syndrome;Familial_cold_autoinflammatory_syndrome_1;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Hearing_loss,_autosomal_dominant_34,_with_or_without_inflammation;Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Keratitis_fugax_hereditaria;Cryopyrin_associated_periodic_syndrome;Inborn_genetic_diseases",transversion,1
